NUM_ATIVIDADE|NUM_SEQ_RECURSO|NUM_PLACA|NUM_PREFIXO
2017-040553454-001 |1 |PYW3525 |24823
2018-004643871-001 |1 |PUE9156 |25507
2018-009202982-001 |1 |PXD8195 |23354
2018-012053700-001 |1 |PUE9073 |25451
2018-014878282-001 |1 |PUE9724 |25433
2018-014878282-001 |2 |PUE9706 |25431
2018-023744856-001 |1 |PXD8226 |23374
2018-026745129-001 |1 |PXD8226 |23374
2018-039774895-001 |1 |QPO0424 |27719
2018-051753032-001 |1 |PXE5933 |23444
2019-000976869-001 |1 |QPF8627 |27055
2019-001081805-001 |1 |QOY8145 |26699
2019-005673496-001 |1 |QPU1341 |27839
2019-005691024-001 |1 |ORC8324 |22152
2019-005905743-001 |1 |OQM9063 |21458
2019-006271025-001 |1 |PYT0164 |24564
2019-007022161-001 |1 |QOY7822 |26703
2019-007298551-001 |1 |PYT0164 |24564
2019-008507316-001 |1 |PYT0164 |24564
2019-009550585-001 |1 |HNO4675 |18543
2019-011000768-001 |1 |QPT4956 |27805
2019-011229355-001 |1 |QPG0231 |27396
2019-011585738-001 |1 |QPR4850 |27787
2019-011928132-001 |1 |QPR4850 |27787
2019-011962297-001 |1 |QPR4850 |27787
2019-012132585-001 |1 |QPP9412 |27768
2019-012169410-001 |1 |QPR4886 |27767
2019-012797704-001 |1 |QPF9678 |27029
2019-015452336-001 |1 |QPP9539 |27737
2019-016113534-001 |1 |QPR4883 |27756
2019-016467028-001 |1 |QPR4883 |27756
2019-016780866-001 |1 |QMV0646 |26384
2019-016873124-001 |1 |QPR4883 |27756
2019-019391010-001 |1 |HNH0240 |01055
2019-019925726-001 |1 |HNH0240 |01055
2019-020025236-001 |1 |QPG0236 |27401
2019-025090225-001 |1 |QPH8914 |27505
2019-025719305-001 |1 |QPR4839 |27795
2019-026600851-001 |1 |QPR4868 |27784
2019-026864253-001 |1 |QPR4875 |27779
2019-026876232-001 |1 |QPB0823 |26844
2019-026892157-001 |1 |QPR4875 |27779
2019-027143614-001 |1 |QPG0225 |27394
2019-027175767-001 |1 |QPG0225 |27394
2019-027176038-001 |1 |QPG0225 |27394
2019-027619710-001 |1 |QPF8911 |27096
2019-027727691-001 |1 |QPJ1151 |27577
2019-029427524-001 |1 |QMV0265 |25862
2019-029533493-001 |1 |OPQ8815 |20304
2019-030325550-001 |1 |QPR4886 |27767
2019-030498439-001 |1 |QPO0402 |27716
2019-030500728-001 |1 |QPO0402 |27716
2019-030599496-001 |1 |QMV0265 |25862
2019-031795849-001 |1 |QPO0412 |27682
2019-031804594-001 |1 |QPO0412 |27682
2019-031878484-001 |1 |QPI2054 |27545
2019-031890699-001 |1 |QOY8258 |26641
2019-032115740-001 |1 |QPG0225 |27394
2019-032143500-001 |1 |QPG0225 |27394
2019-032851570-001 |1 |QPR4883 |27756
2019-032939976-001 |1 |QOY8130 |26634
2019-032967882-001 |1 |QPB0726 |26818
2019-033099401-001 |1 |PUE9024 |25388
2019-033940112-001 |1 |QPJ1130 |27594
2019-033940680-001 |1 |QPJ1130 |27594
2019-034207485-001 |1 |QOY8206 |26648
2019-034209954-001 |1 |QPG0231 |27396
2019-034220772-001 |1 |QOY8206 |26648
2019-034402550-001 |1 |QPF9765 |27377
2019-036490661-001 |1 |QOY8178 |26689
2019-036506008-001 |1 |QPB0726 |26818
2019-036998660-001 |1 |QPG0223 |27392
2019-036998932-001 |1 |QPG0223 |27392
2019-037803355-001 |1 |QPP9475 |27766
2019-038497103-001 |1 |HMH6039 |00904
2019-038679775-001 |1 |QPF9722 |27357
2019-038948498-001 |1 |QPP9475 |27766
2019-038951990-001 |1 |PUE9635 |25268
2019-038952336-001 |1 |PUE9635 |25268
2019-039027897-001 |1 |QPB0731 |26820
2019-039061590-001 |1 |QPF9722 |27357
2019-039460262-001 |1 |QOY7753 |26720
2019-039664473-001 |1 |PYT0164 |24564
2019-040280300-001 |1 |QPB0823 |26844
2019-041116417-001 |1 |OPE0131 |20414
2019-042996447-001 |1 |QPP9475 |27766
2019-043306133-001 |1 |QPB0726 |26818
2019-044011028-001 |1 |QPB6161 |26996
2019-044428754-001 |1 |QPF9693 |27037
2019-044429614-001 |1 |QPF9693 |27037
2019-044634598-001 |1 |QOY7753 |26720
2019-045291651-001 |1 |QPF8419 |27074
2019-045499770-001 |1 |QOY8178 |26689
2019-046620179-001 |1 |QPK2173 |27430
2019-047135499-001 |1 |QPO0428 |27665
2019-047157837-001 |1 |QPO0394 |27675
2019-047330012-001 |1 |QPM7974 |27632
2019-047472756-001 |1 |QOY8140 |26631
2019-047682425-001 |1 |QPF8617 |27094
2019-047817961-001 |1 |QPB6161 |26996
2019-047818204-001 |1 |QPB6161 |26996
2019-048079186-001 |1 |QPF8742 |27021
2019-048228579-001 |1 |QPH8971 |27529
2019-048234379-001 |1 |QPH8971 |27529
2019-048949475-001 |1 |QOY7862 |26627
2019-049172723-001 |1 |QPF9722 |27357
2019-049701835-001 |1 |QPT4955 |27822
2019-049773481-001 |1 |QOY7753 |26720
2019-049786270-001 |1 |QPK2182 |27434
2019-050583459-001 |1 |QUQ9197 |28812
2019-050650680-001 |1 |QPB0726 |26818
2019-050694220-001 |1 |QPK2182 |27434
2019-051074873-001 |1 |QPB0726 |26818
2019-051240856-001 |1 |QOY7753 |26720
2019-051631456-001 |1 |QPM7882 |27651
2019-051673968-001 |1 |QMV1177 |27893
2019-051678014-001 |1 |QMV1177 |27893
2019-051681845-001 |1 |QMV1177 |27893
2019-053167493-001 |1 |QPK2173 |27430
2019-053167634-001 |1 |QPK2173 |27430
2019-054016044-001 |1 |QOY8235 |26571
2019-054073736-001 |1 |QMV1493 |28184
2019-054741870-001 |1 |OQM9858 |21869
2019-054741986-001 |1 |OQM9858 |21869
2019-055773493-001 |1 |QPF8419 |27074
2019-056052209-001 |1 |QMV2095 |29119
2019-056168120-001 |1 |QPK2173 |27430
2019-057734434-001 |1 |NXX1864 |01209
2019-057864647-001 |1 |QPB6158 |26994
2019-058250313-001 |1 |QPM7882 |27651
2019-058522525-001 |1 |PUE8725 |24342
2019-058550892-001 |1 |NXX1064 |19724
2019-058943660-001 |1 |QOY7958 |26734
2019-059261693-001 |1 |QMV2188 |29382
2019-059316849-001 |1 |PUE9069 |25450
2019-059367120-001 |1 |QPB6158 |26994
2019-059600607-001 |1 |QPB0731 |26820
2019-059880870-001 |1 |QPO0446 |27676
2019-059946871-001 |1 |QUQ9283 |28828
2019-059971308-001 |1 |QPB0731 |26820
2019-059975860-001 |1 |QOY7824 |26743
2019-060427612-001 |1 |QPB0711 |26814
2019-060650165-001 |1 |QMV2180 |29403
2019-060692608-001 |1 |QPB0731 |26820
2019-060987002-001 |1 |QPF9730 |27360
2019-060995864-001 |1 |QPF9730 |27360
2019-061420003-001 |1 |QPB0731 |26820
2019-061474040-001 |1 |PUE9620 |25314
