NUM_ATIVIDADE|NUM_SEQ_RECURSO|NUM_PLACA|NUM_PREFIXO
2020-009402903-001 |1 | |
2020-009567870-001 |1 | |
2020-009578028-001 |1 |ORC8337 |22444
2020-009584300-001 |1 |PUE9071 |25443
2020-009666123-001 |1 |OPQ8841 |20275
2020-009771226-001 |1 |QPR4853 |27790
2020-009844091-001 |1 |QPO0429 |27708
2020-009931346-001 |1 |QOY8320 |26656
2020-009956220-001 |1 |QPF9711 |27352
2020-009963902-001 |1 |QPB0848 |26852
2020-009964387-001 |1 |QPB0730 |26819
2020-010186859-001 |1 |QMV1542 |28328
2020-010315980-001 |1 |HLE8074 |18572
2020-010360944-001 |1 |PUE9021 |25333
2020-010365988-001 |1 |QPB0863 |26858
2020-010472839-001 |1 |QUR4337 |28870
2020-010688900-001 |1 |QPM8031 |27655
2020-010731192-001 |1 |QPM8031 |27655
2020-010756506-001 |1 |QPB0856 |26855
2020-010858752-001 |1 |QNX9835 |25891
2020-010940064-001 |1 |QUV9272 |29101
2020-011062080-001 |1 |QUY0617 |29343
2020-011187550-001 |1 |QPB0730 |26819
2020-011187640-001 |1 |QPB0730 |26819
2020-011346779-001 |1 |OPQ8245 |20612
2020-011407815-001 |1 |OPQ8841 |20275
2020-011559153-001 |1 |QPB0730 |26819
2020-011755158-001 |1 |QPB0848 |26852
2020-011784541-001 |1 |QPO0429 |27708
2020-011891054-001 |1 |ORC8682 |22418
2020-011949112-001 |1 |QMV4312 |29562
2020-012025380-001 |1 |PUE8381 |00066
2020-012241500-001 |1 |QPB0755 |26828
2020-012260849-001 |1 |QPB0864 |26859
2020-012260930-001 |1 |QPB0864 |26859
2020-012350984-001 |1 |PUE8031 |01332
2020-012660976-001 |1 |QPB0848 |26852
2020-012661156-001 |1 |QPB0730 |26819
2020-012698979-001 |1 |QMV1144 |27874
2020-012709823-001 |1 |QMV1144 |27874
2020-012716580-001 |1 |QPO0429 |27708
2020-012822270-001 |1 |QPM7871 |27657
2020-012863370-001 |1 | |
2020-012877374-001 |1 |PUE8998 |25292
2020-012933301-001 |1 |QPF8724 |27023
2020-012961484-001 |1 |PUE8363 |00060
2020-013125490-001 |1 |PUE7172 |22774
2020-013136186-001 |1 |QPM8035 |27629
2020-013138129-001 |1 |QUV9074 |29054
2020-013143253-001 |1 |QPM8035 |27629
2020-013196709-001 |1 |QPB0755 |26828
2020-013358163-001 |1 |QPB0848 |26852
2020-013369176-001 |1 |QPB0755 |26828
2020-013447696-001 |1 |OPQ9195 |21544
2020-013526671-001 |1 |PUE8977 |25229
2020-013526671-001 |2 |PUE9655 |25356
2020-013526671-001 |3 |PUE9665 |25355
2020-013527180-001 |1 |PUE9665 |25355
2020-013527180-001 |2 |PUE9655 |25356
2020-013527180-001 |3 |PUE8977 |25229
2020-013550614-001 |1 |QUV9074 |29054
2020-013576183-001 |1 |QMV1722 |28465
2020-013642131-001 |1 |PUE9237 |25649
2020-013717028-001 |1 |PUE9237 |25649
2020-013732342-001 |1 |QOY8012 |26602
2020-013777949-001 |1 |QPF8753 |27017
2020-013787669-001 |1 |QMV4183 |26610
2020-013787669-001 |2 |QMV0750 |26954
2020-013795217-001 |1 |QUZ0221 |29348
2020-014024217-001 |1 |QPB0848 |26852
2020-014024377-001 |1 |QPB0848 |26852
2020-014175691-001 |1 |QPB0848 |26852
2020-014249802-001 |1 |QPB0755 |26828
2020-014365620-001 |1 |QPB0869 |26861
2020-014482376-001 |1 |PUE7208 |22810
2020-014501700-001 |1 |PUE9071 |25443
2020-014897263-001 |1 |QPB0869 |26861
2020-014982023-001 |1 |QMV1756 |28414
2020-014992709-001 |1 |QOY8320 |26656
2020-015141008-001 |1 |QOY8325 |26655
2020-015178783-001 |1 |QOY7787 |26722
2020-015206782-001 |1 |QPR0017 |27745
2020-015212582-001 |1 |QOY8325 |26655
2020-015312221-001 |1 |QPB0843 |26850
2020-015367250-001 |1 |QMV1890 |28564
2020-015369471-001 |1 |QPB0843 |26850
2020-015374838-001 |1 |QPF8627 |27055
2020-015509653-001 |1 |ORC8331 |22187
2020-015529115-001 |1 |ORC8331 |22187
2020-015751581-001 |1 |QPT4955 |27822
2020-015751581-001 |2 |QPO0437 |27664
2020-015761743-001 |1 |HMH9196 |17611
2020-015761743-001 |2 |OPQ8403 |21475
2020-015761743-001 |3 |QMV0390 |25912
2020-015761743-001 |4 |OPQ8401 |21474
2020-015779128-001 |1 |QMV1756 |28414
2020-016100930-001 |1 |QPH8914 |27505
2020-016204373-001 |1 |QMV1757 |28415
2020-016219839-001 |1 |QPM7970 |27640
2020-016543276-001 |1 |QPP9543 |27736
2020-016546358-001 |1 |QMV2191 |29379
2020-016606547-001 |1 |QPP9543 |27736
2020-016705809-001 |1 |QUZ2486 |29251
2020-016832823-001 |1 |QUS0894 |28919
2020-016917730-001 |1 |OQM9228 |20898
2020-017177520-001 |1 |QMV0045 |25720
2020-017289640-001 |1 |PUE9237 |25649
2020-017488412-001 |1 |QPO0395 |27713
2020-017685437-001 |1 |HMH0447 |00660
2020-017686877-001 |1 |HMH0447 |00660
2020-018247583-001 |1 |HMH4103 |15387
2020-018273118-001 |1 |QPB6173 |26984
2020-018273328-001 |1 |QPB6173 |26984
2020-018330764-001 |1 |PUE9237 |25649
2020-018447125-001 |1 |QMV2206 |29378
2020-018476891-001 |1 |QPI4302 |27546
2020-018476926-001 |1 |QPI4302 |27546
2020-018544670-001 |1 |QPR0034 |27782
2020-018550310-001 |1 |PUE9021 |25333
2020-018602374-001 |1 |QPR4871 |27771
2020-018640195-001 |1 |QPF9717 |27112
2020-018671954-001 |1 |QPB6310 |26976
2020-018786150-001 |1 |QMV2206 |29378
2020-018813286-001 |1 |OPQ9077 |20356
2020-018876423-001 |1 |PUE7211 |22808
2020-018905310-001 |1 |PUE7211 |22808
2020-018955017-001 |1 |QPR0030 |27775
2020-019022108-001 |1 |QPB0835 |26848
2020-019036218-001 |1 |QPR0030 |27775
2020-019232541-001 |1 |QUT9357 |28944
2020-019240353-001 |1 |PUE8539 |24277
2020-019240353-001 |2 |QPM7878 |27643
2020-019240353-001 |3 |QPO0416 |27717
2020-019240353-001 |4 |QOY8250 |26696
2020-019257680-001 |1 |QUT9357 |28944
2020-019302582-001 |1 |QPH8926 |27509
2020-019717470-001 |1 |QUU1706 |28990
2020-019753510-001 |1 |QUU1706 |28990
2020-019761818-001 |1 |OPQ9789 |20660
2020-019766130-001 |1 |QPB6173 |26984
2020-019792966-001 |1 |QUV7748 |29153
2020-019804373-001 |1 |QUV7748 |29153
2020-019809573-001 |1 |QUV7748 |29153
2020-019824907-001 |1 |PUE8964 |25217
2020-019824907-001 |2 |OPQ8041 |20424
2020-019824907-001 |3 |PUE9603 |25253
2020-019879597-001 |1 |QPS8132 |27802
2020-019929765-001 |1 |QPX9702 |28688
2020-019930612-001 |1 |PUE9162 |25522
2020-020120192-001 |1 |QMV4312 |29562
2020-020138692-001 |1 |QPA0113 |26767
2020-020170553-001 |1 |PUE8998 |25292
2020-020344937-001 |1 |QUV7748 |29153
2020-020453163-001 |1 |PUE8067 |01354
2020-020461144-001 |1 |QMV4312 |29562
2020-020560581-001 |1 |NXX0657 |19568
2020-020568729-001 |1 |QMV1765 |28418
2020-020631859-001 |1 |QUV7748 |29153
2020-020668794-001 |1 |QUR4316 |28861
2020-020717654-001 |1 |PUE8966 |25218
2020-020718962-001 |1 |QPP9240 |27759
2020-020771060-001 |1 |QUQ9180 |28802
2020-020913029-001 |1 |QPH8971 |27529
2020-021011493-001 |1 |QUV7748 |29153
2020-021011753-001 |1 |PUE8742 |24395
2020-021076160-001 |1 |QPK2225 |27451
2020-021081905-001 |1 |QPS8121 |27804
2020-021097466-001 |1 |QPS8121 |27804
2020-021122671-001 |1 |QMV4312 |29562
2020-021158976-001 |1 |QMV4312 |29562
2020-021286939-001 |1 |QUV7748 |29153
2020-021340334-001 |1 |PUE7919 |23037
2020-021358232-001 |1 |QPO0382 |27710
2020-021409173-001 |1 |QPK2181 |27433
2020-021412390-001 |1 |QUV9278 |29029
2020-021419887-001 |1 |QUZ2302 |29260
2020-021484616-001 |1 |QOY8258 |26641
2020-021485909-001 |1 |QMV1738 |28396
2020-021511677-001 |1 |QMV4312 |29562
2020-021598800-001 |1 |QPH8929 |27510
2020-021602450-001 |1 |OPE0134 |20386
2020-021602450-001 |2 |PUE9681 |25366
2020-021618480-001 |1 |OPE0134 |20386
2020-021618480-001 |2 |PUE9681 |25366
2020-021621380-001 |1 |NXX0657 |19568
2020-021776440-001 |1 |QPR0017 |27745
2020-021786370-001 |1 |QPR0017 |27745
2020-021798058-001 |1 |QPR0017 |27745
2020-021813515-001 |1 |QPF9748 |27365
2020-021886692-001 |1 |QMV2214 |29401
2020-021892107-001 |1 |OPQ8420 |21491
2020-021892107-001 |2 |QMV0418 |25986
2020-021920990-001 |1 |PUE9754 |25466
2020-021986582-001 |1 |QPK2201 |27443
2020-022024825-001 |1 |QUV7748 |29153
2020-022026066-001 |1 |QPB0740 |26823
2020-022052995-001 |1 |QOY8258 |26641
2020-022096863-001 |1 |QMV0640 |26307
2020-022096863-001 |2 |PUE9873 |26390
2020-022096863-001 |3 |QMV4024 |26370
2020-022099500-001 |1 |QPU1346 |27831
2020-022139350-001 |1 |QPO0442 |27694
2020-022141437-001 |1 |OPE0134 |20386
2020-022141437-001 |2 |PUE9681 |25366
2020-022148229-001 |1 |NXX0657 |19568
2020-022230095-001 |1 |QPF8856 |27093
2020-022244270-001 |1 |QPB0902 |26876
2020-022315639-001 |1 |QPG0223 |27392
2020-022344459-001 |1 |QPK2223 |27449
2020-022461201-001 |1 |OPE0484 |01232
2020-022515278-001 |1 |QMV4312 |29562
2020-022601647-001 |1 |QPI4465 |27561
2020-022691568-001 |1 |QUZ2486 |29251
2020-022695895-001 |1 |PUE8100 |01362
2020-022726584-001 |1 |ORC8394 |01277
2020-022759794-001 |1 |QNJ1885 |25852
2020-022771300-001 |1 |QMV0063 |25774
2020-022774868-001 |1 |QPB0699 |26801
2020-022835490-001 |1 |PUE9666 |25369
2020-022835490-001 |2 |PUE9634 |25367
2020-022835490-001 |3 |PUE8981 |25237
2020-022835960-001 |1 |PUE9666 |25369
2020-022835960-001 |2 |PUE9634 |25367
2020-022835960-001 |3 |PUE8981 |25237
2020-022958990-001 |1 |QPF9726 |27114
2020-022961742-001 |1 |QMV2199 |29406
2020-022964370-001 |1 |QUZ0227 |29352
2020-022986445-001 |1 |QPP9240 |27759
2020-023014673-001 |1 |QMV4271 |29238
2020-023014673-001 |2 |QMV4269 |29236
2020-023014673-001 |3 |QMV4268 |29235
2020-023019412-001 |1 |QUS0894 |28919
2020-023077219-001 |1 |QOY8258 |26641
2020-023097902-001 |1 |OPQ9956 |20876
2020-023100087-001 |1 |HCF6116 |01431
2020-023105246-001 |1 |QOY8404 |26761
2020-023105261-001 |1 |QOY8404 |26761
2020-023107427-001 |1 |QPX9758 |28743
2020-023112880-001 |1 |HMH9700 |01176
2020-023149810-001 |1 |OPQ8811 |20163
2020-023190180-001 |1 |QUR4337 |28870
2020-023194526-001 |1 |QPP9212 |27757
2020-023207501-001 |1 |PUE8966 |25218
2020-023229780-001 |1 |QMV0730 |26903
2020-023261472-001 |1 |QPB6165 |26995
2020-023261472-001 |2 |QPF8365 |27077
2020-023269820-001 |1 |QPI4465 |27561
2020-023269886-001 |1 |QPI4465 |27561
2020-023335652-001 |1 |PUE8997 |25288
2020-023335652-001 |2 |QOY8124 |26593
2020-023351025-001 |1 |OQM9757 |21665
2020-023450293-001 |1 |PUE8997 |25288
2020-023466201-001 |1 |QPB0705 |26812
2020-023481150-001 |1 |QPX9697 |28686
2020-023481150-001 |2 |PUE8728 |24345
2020-023493925-001 |1 |QPS8100 |27799
2020-023509240-001 |1 |HMH7728 |17155
2020-023521805-001 |1 |OQM8408 |21184
2020-023542055-001 |1 |QPS8100 |27799
2020-023579432-001 |1 |QUY0550 |29451
2020-023603671-001 |1 |QUT6860 |28932
2020-023611784-001 |1 |QUR4337 |28870
2020-023641226-001 |1 |QUY0550 |29451
2020-023674869-001 |1 |QUQ9240 |28820
2020-023712220-001 |1 |PUE8969 |25222
2020-023757489-001 |1 |QPB0905 |26878
2020-023763577-001 |1 |HMH3151 |00799
2020-023811733-001 |1 |PUE8038 |01413
