NUM_ATIVIDADE|NUM_SEQ_RECURSO|NUM_PLACA|NUM_PREFIXO
2018-005100527-001 |1 |PUE7837 |22976
2018-016527702-001 |1 |PYV1941 |24723
2018-020219391-001 |1 |PYT0074 |24582
2018-021418776-001 |1 |PUE9737 |25480
2018-026527453-001 |1 |OQM9003 |21031
2018-029405643-001 |1 |PUE8316 |00128
2018-029671016-001 |1 |PUE8316 |00128
2018-031949489-001 |1 |PXJ5168 |23737
2018-032897397-001 |1 |PXD8082 |23264
2018-033207343-001 |1 |ORC8438 |21995
2018-042459904-001 |1 |PXJ5166 |23739
2018-050040583-001 |1 |PXD8034 |23224
2018-050042541-001 |1 |PXD8034 |23224
2018-051487577-001 |1 |PXK9099 |23927
2018-054435741-001 |1 |PUE9751 |25464
2018-054607552-001 |1 |OQM9038 |00557
2019-002623785-001 |1 |QPF9693 |27037
2019-003263490-001 |1 |HNH0078 |01038
2019-003321806-001 |1 |HNH0078 |01038
2019-004204210-001 |1 |HNH0078 |01038
2019-006476481-001 |1 |HNH0078 |01038
2019-008361817-001 |1 |QMV0013 |25744
2019-009214097-001 |1 |QPB0784 |26836
2019-009970657-001 |1 |QOY7816 |26701
2019-011056314-001 |1 |OPQ8006 |20442
2019-011260330-001 |1 |HNH0078 |01038
2019-013040554-001 |1 |HNH0078 |01038
2019-013167698-001 |1 |QPF9722 |27357
2019-013410841-001 |1 |HNH0078 |01038
2019-014565494-001 |1 |PUE9735 |25473
2019-014842420-001 |1 |QPF9722 |27357
2019-015076565-001 |1 |PUE9735 |25473
2019-016281107-001 |1 |QPB0765 |26831
2019-017359100-001 |1 |QPF9721 |27110
2019-017359609-001 |1 |QPF9721 |27110
2019-019474153-001 |1 |QPR4886 |27767
2019-020146814-001 |1 |QPB0711 |26814
2019-023471048-001 |1 |HNH0078 |01038
2019-027514674-001 |1 |QPJ1100 |27421
2019-028039303-001 |1 |PUE8366 |00063
2019-028196168-001 |1 |HMH1155 |13919
2019-028196378-001 |1 |HMH1155 |13919
2019-028196600-001 |1 |HMH1155 |13919
2019-030740159-001 |1 |OQM9038 |00557
2019-033298453-001 |1 |PUE9037 |25444
2019-033979690-001 |1 |QMV1547 |28324
2019-035955914-001 |1 |HMH3158 |00806
2019-036616025-001 |1 |ORC8559 |22351
2019-037021854-001 |1 |PUE8685 |24361
2019-038470559-001 |1 |QUZ5031 |29356
2019-038470559-001 |2 |QMV1112 |28133
2019-039538923-001 |1 |PYT0160 |24463
2019-040419560-001 |1 |QMV0736 |26967
2019-040660569-001 |1 |QPD0480 |26985
2019-044856142-001 |1 |QMV4043 |26425
2019-045038868-001 |1 |QMV4043 |26425
2019-045427562-001 |1 |PUE8316 |00128
2019-047352289-001 |1 |PUE9019 |25348
2019-047445387-001 |1 |OPQ8112 |20536
2019-047586195-001 |1 |QPB6173 |26984
2019-050797806-001 |1 |PUE9035 |25350
2019-053301195-001 |1 |OPQ9078 |20358
2019-053990592-001 |1 |QPB6161 |26996
2019-053990655-001 |1 |QPB6161 |26996
2019-054266780-001 |1 |PUE8986 |25285
2019-054266815-001 |1 |PUE8986 |25285
2019-054635653-001 |1 |QMV2070 |28783
2019-055730052-001 |1 |QMV2070 |28783
2019-056578328-001 |1 |QPF8889 |27061
2019-056610403-001 |1 |QMV1212 |27992
2019-057400848-001 |1 |OPQ9078 |20358
2019-057804750-001 |1 |QMV1542 |28328
2019-058012058-001 |1 |QMV4147 |26526
2019-058012058-001 |2 |QMV4144 |26527
2019-058012058-001 |3 |QMV0685 |26788
2019-058037521-001 |1 |QPR0017 |27745
2019-058360174-001 |1 |NXX1028 |19689
2019-058449274-001 |1 |QOY8063 |26597
2019-058471064-001 |1 |HMN1259 |00259
2019-059163160-001 |1 |HMG9672 |15766
2019-059914287-001 |1 |QUV7768 |29165
2019-060000551-001 |1 |OPQ9817 |20714
2019-060064825-001 |1 |HMH7876 |17162
2019-060649879-001 |1 |QMV2180 |29403
2019-060649931-001 |1 |QMV2180 |29403
2019-060649998-001 |1 |QMV2180 |29403
2019-060650018-001 |1 |QMV2180 |29403
2019-060650020-001 |1 |QMV2180 |29403
2019-060650046-001 |1 |QMV2180 |29403
2019-060650074-001 |1 |QMV2180 |29403
2019-060650090-001 |1 |QMV2180 |29403
2019-060650109-001 |1 |QMV2180 |29403
2019-060650111-001 |1 |QMV2180 |29403
2019-060650137-001 |1 |QMV2180 |29403
2019-061806648-001 |1 |QMV2223 |29417
2019-061861061-001 |1 |QMV0641 |26313
2019-062231863-001 |1 |PUE9217 |25633
2019-062680940-001 |1 |HMH7876 |17162
2019-062682400-001 |1 |HMH7876 |17162
2019-062695794-001 |1 |QMV2201 |29395
2019-062982690-001 |1 |QPX9747 |28734
2019-063303662-001 |1 |QOY8320 |26656
2019-063800723-001 |1 |QMV0653 |26379
2019-063935506-001 |1 |QOY8320 |26656
2019-063957064-001 |1 |QMV0653 |26379
2019-063989163-001 |1 |OQM9090 |21234
2019-064305775-001 |1 |QPP9523 |27738
2020-000614526-001 |1 |QUT6890 |28887
2020-000871255-001 |1 |QMV0653 |26379
2020-000961440-001 |1 |OQM9615 |21596
2020-001052409-001 |1 |NXX1868 |01213
2020-001261393-001 |1 |QMV0653 |26379
2020-001269907-001 |1 |QPO0401 |27670
2020-001287482-001 |1 |QPO0401 |27670
2020-001305928-001 |1 |QPO0401 |27670
2020-001619279-001 |1 |PUE9508 |23125
2020-002307755-001 |1 |QMV2198 |29392
2020-002310445-001 |1 |QMV0653 |26379
2020-002342111-001 |1 |PUE9740 |25471
2020-002379646-001 |1 |QOY8063 |26597
2020-002385487-001 |1 |QPB0823 |26844
2020-002576069-001 |1 |QPB0823 |26844
2020-002698670-001 |1 |QMV0653 |26379
2020-002764540-001 |1 |QOY8320 |26656
2020-002879910-001 |1 |QMV0653 |26379
2020-003001483-001 |1 |QOY8308 |26590
2020-003380284-001 |1 |QMV0653 |26379
2020-003546436-001 |1 |QPF9671 |27026
2020-003731471-001 |1 |PUE8972 |25230
2020-003736461-001 |1 |QMV0653 |26379
2020-003945650-001 |1 |QOY7821 |26730
2020-004115530-001 |1 |QPF8384 |27005
2020-004207333-001 |1 |QMV0653 |26379
2020-004412250-001 |1 |QPF9691 |27035
2020-004454524-001 |1 |QPX9671 |28676
2020-004468283-001 |1 |QPX9671 |28676
2020-004605671-001 |1 |QPB0755 |26828
2020-004685177-001 |1 |ORC8437 |21997
2020-004685177-001 |2 |PUE7179 |22782
2020-004986287-001 |1 |ORC9730 |22455
2020-005073460-001 |1 |QPB0883 |26868
2020-005266811-001 |1 |QPB0731 |26820
2020-005390269-001 |1 |QPH8984 |27533
2020-005501386-001 |1 |QPR0015 |27762
2020-005510318-001 |1 |QPB0755 |26828
2020-005898044-001 |1 |QPH8879 |27493
2020-006226494-001 |1 |QPH8879 |27493
2020-006384992-001 |1 |QPJ1129 |27602
2020-006384992-001 |2 |QXW0A18 |29579
2020-006384992-001 |3 |PUE9879 |26324
2020-006790519-001 |1 |QOY7638 |26749
2020-006935132-001 |1 |QPB0846 |26851
2020-007073620-001 |1 |QMV0654 |26388
2020-007075539-001 |1 |QMV0654 |26388
2020-007131171-001 |1 |OPQ8820 |20167
2020-007474583-001 |1 |QOY7888 |26612
2020-007474646-001 |1 |QOY7888 |26612
2020-007520004-001 |1 |QOY8320 |26656
2020-007596404-001 |1 |HDN6800 |18597
2020-007684538-001 |1 |PUE8331 |01407
2020-007791508-001 |1 |HMH9708 |01170
2020-007795036-001 |1 |HMH9708 |01170
2020-007975577-001 |1 |QPH8939 |27516
2020-008285822-001 |1 |QOY7862 |26627
2020-009062995-001 |1 |QPB0755 |26828
2020-009094477-001 |1 |PUE9743 |25482
2020-009094724-001 |1 |PUE9743 |25482
2020-009094843-001 |1 |PUE9743 |25482
2020-009103203-001 |1 |QPB0755 |26828
2020-009238854-001 |1 |NXX1028 |19689
2020-009295314-001 |1 |OQM9323 |21430
2020-009502850-001 |1 |ORC8533 |22338
2020-009733656-001 |1 |HMH0232 |00590
2020-009811953-001 |1 |OPQ9493 |20696
2020-010148568-001 |1 |QOY7978 |26735
2020-010173496-001 |1 |PUE7758 |22846
2020-010936642-001 |1 |PUE9035 |25350
2020-010987068-001 |1 |QPK2223 |27449
2020-011005429-001 |1 |OPE0107 |20629
2020-011216105-001 |1 |QPB0787 |26837
2020-011322228-001 |1 |PUE9035 |25350
2020-011343280-001 |1 |QUV7682 |29193
2020-011343433-001 |1 |QUV7682 |29193
2020-011344256-001 |1 |QUV7682 |29193
2020-011404902-001 |1 |OPQ8877 |20353
2020-011405060-001 |1 |OPQ8877 |20353
2020-011534990-001 |1 |QPB0874 |26863
2020-011560120-001 |1 |QOY8012 |26602
2020-011622816-001 |1 |QPB0876 |26864
2020-011751814-001 |1 |QPH8932 |27512
2020-011789949-001 |1 |QPB0787 |26837
2020-011794625-001 |1 |QPB0874 |26863
2020-011836461-001 |1 |QUV7682 |29193
2020-011836509-001 |1 |QUV7682 |29193
2020-011836511-001 |1 |QUV7682 |29193
2020-012014834-001 |1 |PUE9035 |25350
2020-012217724-001 |1 |HNH1101 |01143
2020-012227353-001 |1 |PUE9505 |23096
2020-012293340-001 |1 |QPB0856 |26855
2020-012390161-001 |1 |PUE9035 |25350
2020-012514080-001 |1 |QPI2042 |27541
